Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
93.8%,Garret Keizer,"Sat, 22 Dec 2018 18:19:52 +0000","It is always important, I think, to be clear about what delights you: important, and more easily said than done, to know exactly what you'd do if you didn't have to do everything else.",book,,5,1,Liad (ozonzono),4,30 WPM,World Enough and Time,"[('think,', ' instead of ,'), ('clear', 'k instead of l'), ('you:', 't instead of y'), ('important,', ' instead of ,'), ('than', 'e instead of a'), ('done,', ' instead of ,'), ('know', 'i instead of o'), ('exactly', 'k instead of l'), (""didn't"", ""; instead of '"")]"
93.5%,Wendelin Van Draanen,"Sat, 22 Dec 2018 18:21:21 +0000","A million dollars sounds like a lot, I know. Especially when you're young. But you can't let money erode your principles or you'll wind up with nothing.",book,dakid02 (3rd place),5,2,Liad (ozonzono),4,28 WPM,Sammy Keyes and the Dead Giveaway,"[('million', 'o instead of i'), ('know.', 'i instead of o'), (""you're"", 't instead of y'), ('money', 'e instead of o'), ('principles', 'o instead of i'), (""you'll"", ""; instead of '""), ('nothing.', 'p instead of o')]"
93.6%,James Joyce,"Sat, 22 Dec 2018 18:22:31 +0000","Yes, it was her he was looking at, and there was meaning in his look. His eyes burned into her as though they would search her through and through, read her very soul.",book,howtokillamokingbird (2nd place),5,3,Liad (ozonzono),3,34 WPM,Ulysses,"[('Yes,', '. instead of ,'), ('was', 'a instead of w'), ('looking', 'l instead of k'), ('at,', '. instead of ,'), ('meaning', ', instead of m'), ('his', 'e instead of i'), ('look.', ' instead of .'), ('eyes', 't instead of y'), ('her', 'g instead of h'), ('through,', ' instead of ,'), ('read', 'a instead of e'), ('very', 's instead of s'), ('soul.', ', instead of .')]"
93.5%,"John F. Hughes, Andries van Dam, James D. Foley, Steven K. Feiner","Sat, 22 Dec 2018 18:24:32 +0000","The process of determining what pixels should be written for a given object is independent of any clipping, or of the write mode for the pixel-drawing operation. It does depend, however, on attributes that alter the object's shape, and on our criteria for pixel selection.",book,,4,4,Liad (ozonzono),3,31 WPM,Computer Graphics: Principles and Practice,"[('process', 's instead of c'), ('determining', 'm instead of r'), ('written', 'e instead of r'), ('of', 'i instead of o'), ('write', 'n instead of t'), ('mode', 'n instead of m'), ('pixel-drawing', 'o instead of i'), ('It', ' instead of t'), ('does', 'w instead of e'), ('depend,', '. instead of ,'), ('however,', 'w instead of v'), ('attributes', 'e instead of r'), ('that', 'e instead of a'), (""object's"", 'p instead of o'), ('and', 'b instead of n'), ('pixel', 'k instead of l'), ('selection.', 'l instead of e')]"
93.7%,Dan Harris,"Sat, 22 Dec 2018 18:26:15 +0000","Look at the stars. Same stars as last week, last year, when we were kids, when we weren't even born. In a hundred years no one will ever know who we were... they'll know those same stars.",movie,,5,5,Liad (ozonzono),4,33 WPM,Imaginary Heroes,"[('Same', 's instead of S'), ('as', ' instead of s'), ('year,', 't instead of y'), ('kids,', 'e instead of i'), ('when', 't instead of w'), (""weren't"", 'm instead of n'), ('even', 'r instead of n'), ('years', 't instead of y'), ('ever', 'w instead of v'), ('were...', '/ instead of .'), ('same', 'a instead of s'), ('stars.', 'a instead of t')]"
94.9%,Marcel Proust,"Sat, 22 Dec 2018 18:27:26 +0000","Our worst fears, like our greatest hopes, are not outside our powers, and we can come in the end to triumph over the former and to achieve the latter.",book,my1ez (1st place),5,6,Liad (ozonzono),5,37 WPM,In Search of Lost Time,"[('worst', 'y instead of t'), ('fears,', 'a instead of e'), ('our', 'p instead of o'), ('outside', 'r instead of t'), ('powers,', 's instead of ,'), ('can', 'd instead of a'), ('come', 'n instead of m'), ('in', 't instead of t'), ('the', 'a instead of e')]"
94.8%,Shari Springer Berman and Robert Pulcini,"Sat, 22 Dec 2018 18:29:13 +0000","You know, I don't really know what to expect. Sometimes you look like a younger Brando... but then the way Crumb draws you, you look... like a hairy ape, with all these wavy, stinky lines undulating off your body. I don't really know what to expect.",movie,,5,7,Liad (ozonzono),2,33 WPM,American Splendor,"[(""don't"", ""; instead of '""), ('Sometimes', 'n instead of m'), ('Crumb', 'n instead of m'), ('draws', 'a instead of s'), ('you,', ' instead of ,'), ('look...', ' instead of .'), ('wavy,', 'c instead of v'), ('stinky', 'e instead of y'), ('off', 'i instead of o'), ('your', 'i instead of u'), ('what', 't instead of a'), ('expect.', 'n instead of c')]"
95.2%,William Shakespeare,"Sat, 22 Dec 2018 18:30:22 +0000","Till then, my noble friend, chew upon this: Brutus had rather be a villager than to repute himself a son of Rome under these hard conditions as this time is like to lay upon us.",other,hasib_aye (4th place),5,8,Liad (ozonzono),5,36 WPM,Julius Caesar,"[('friend,', 'e instead of i'), ('chew', 'e instead of w'), ('had', 'b instead of h'), ('be', 'v instead of b'), ('villager', 'i instead of a'), ('than', 'r instead of n'), ('Rome', 'n instead of m'), ('these', 'r instead of e'), ('hard', 'd instead of r'), ('this', 'h instead of t')]"
94.5%,Talking Heads,"Sat, 22 Dec 2018 18:31:26 +0000","Years ago, I was an angry young man. And I'd pretend that I was a billboard standing tall by the side of the road. I fell in love with a beautiful highway.",song,,5,9,Liad (ozonzono),3,36 WPM,(Nothing But) Flowers,"[('ago,', ' instead of ,'), ('man.', ', instead of .'), ('And', 'N instead of n'), ('road.', ', instead of .'), ('love', 'i instead of o'), ('with', 'e instead of w'), ('beautiful', 't instead of u'), ('highway.', 't instead of y')]"
92.5%,Michael Pollan,"Sat, 22 Dec 2018 18:32:48 +0000","It takes more than a calorie of fossil fuel energy to produce a calorie of food. From the standpoint of industrial efficiency, it's too bad we can't simply drink the petroleum directly.",book,,5,10,Liad (ozonzono),3,32 WPM,The Omnivore's Dilemma: A Natural History of Four Meals,"[('It', 'U instead of I'), ('takes', 'a instead of t'), ('of', 'i instead of o'), ('energy', 'y instead of g'), ('From', 'f instead of F'), ('industrial', 't instead of i'), ('efficiency,', 'e instead of i'), (""it's"", 't instead of s'), ('bad', 'n instead of d'), (""can't"", 'd instead of a'), ('drink', 'e instead of r'), ('petroleum', 'u instead of e'), ('directly.', 'k instead of l')]"
91.8%,Sophocles,"Sat, 22 Dec 2018 18:36:08 +0000","O clear intelligence, force beyond all measure! Gentlemen, I beg you to observe these girls: one has just now lost her mind; the other, it seems, has never had a mind at all.",book,,5,11,Liad (ozonzono),4,30 WPM,Antigone,"[('clear', 'a instead of e'), ('intelligence,', 'o instead of i'), ('beyond', 'u instead of n'), ('measure!', 'y instead of u'), ('Gentlemen,', 'n instead of m'), ('observe', 'b instead of o'), ('girls:', '; instead of :'), ('mind;', 'n instead of m'), ('seems,', ' instead of ,'), ('had', 'j instead of h'), ('mind', 'o instead of i'), ('all.', '/ instead of .')]"
93.9%,Karl Taro Greenfeld,"Sat, 22 Dec 2018 18:37:03 +0000",That's how you have to think of this. We're rewriting the history of human thought with what we're doing.,book,,5,12,Liad (ozonzono),4,34 WPM,China Syndrome,"[(""We're"", 'w instead of W'), ('rewriting', 'i instead of r'), ('human', 'o instead of h'), ('with', 'e instead of w'), ('what', 'a instead of h'), ('doing.', 'n instead of i')]"
93.9%,Ralph Ellison,"Sat, 22 Dec 2018 18:38:39 +0000",And the mind that has conceived a plan of living must never lose sight of the chaos against which that pattern was conceived. That goes for societies as well as for individuals.,book,joonsdimples (2nd place),5,13,Liad (ozonzono),3,35 WPM,Invisible Man,"[('of', 'i instead of o'), ('lose', 'i instead of o'), ('chaos', 'a instead of h'), ('which', 't instead of w'), ('that', 'i instead of t'), ('pattern', 'e instead of r'), ('conceived.', 'c instead of v'), ('for', 'g instead of f'), ('societies', 'd instead of s'), ('individuals.', 'u instead of i')]"
93.3%,Virgil,"Sat, 22 Dec 2018 18:39:55 +0000","What good are prayers and shrines to a person mad with love? The flame keeps gnawing into her tender marrow hour by hour, and deep in her heart the silent wound lives on.",book,,5,14,Liad (ozonzono),4,34 WPM,The Aeneid,"[('good', 'f instead of g'), ('person', 'n instead of s'), ('mad', ', instead of m'), ('love?', '> instead of ?'), ('keeps', 'l instead of k'), ('gnawing', 'm instead of n'), ('hour,', 'g instead of h'), ('her', 't instead of h'), ('lives', 'o instead of i')]"
95.9%,Fred Pearce,"Sat, 22 Dec 2018 18:42:59 +0000","Because most of the 150,000 tons of gold ever mined is still in circulation, the gold on my finger could have been mined in Persia six thousand years ago, or worn by Cleopatra.",book,,5,15,Liad (ozonzono),4,35 WPM,Confessions of an Eco-Sinner: Tracking Down the Sources of My Stuff,"[('150,000', '0 instead of ,'), ('gold', 'i instead of o'), ('mined', 'v instead of n'), ('circulation,', ' instead of ,'), ('gold', 'k instead of l'), ('six', 'c instead of x'), ('thousand', 's instead of d'), ('ago,', 'e instead of o')]"
93.9%,Robert T. Kiyosaki,"Sat, 22 Dec 2018 19:35:24 +0000",The poor and the middle class work for money. The rich have money work for them.,book,,5,16,Liad (ozonzono),4,33 WPM,Rich Dad Poor Dad,"[('poor', 'o instead of p'), ('middle', ', instead of m'), ('class', 's instead of a'), ('The', 'Y instead of T'), ('have', 'c instead of v')]"
94.7%,Steven D. Levitt & Stephen J. Dubner,"Sat, 22 Dec 2018 19:37:52 +0000","After all, your chances of winning a lottery and of affecting an election are pretty similar. From a financial perspective, playing the lottery is a bad investment. But it's fun and relatively cheap: for the price of a ticket, you buy the right to fantasize how you'd spend the winnings - much as you get to fantasize that your vote will have some impact on policy.",book,,4,17,Liad (ozonzono),3,33 WPM,Freakonomics,"[('all,', ' instead of ,'), ('chances', 'd instead of c'), ('winning', 'h instead of n'), ('election', 'u instead of i'), ('pretty', 'e instead of r'), ('similar.', ' instead of .'), ('financial', 'i instead of c'), ('perspective,', 'r instead of e'), ('But', 'N instead of B'), (""it's"", 'n instead of t'), ('relatively', 'l instead of e'), ('cheap:', 'j instead of h'), ('ticket,', '. instead of ,'), ('much', 'j instead of h'), ('fantasize', 'z instead of s'), ('your', 'u instead of y')]"
96.9%,Fyodor Dostoyevsky,"Sat, 22 Dec 2018 19:39:38 +0000","Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.",book,imicon (4th place),4,18,Liad (ozonzono),2,40 WPM,The Brothers Karamazov,"[('yourself.', ' instead of .'), ('listens', 'm instead of n'), ('that', 'h instead of t'), ('cannot', 't instead of o'), ('truth', 'n instead of t'), ('him,', ' instead of ,'), ('so', 'e instead of o'), ('respect', 'a instead of s'), ('ceases', 'e instead of s')]"
92.3%,Billy Joel,"Sat, 22 Dec 2018 19:42:55 +0000","We didn't start the fire. It was always burning since the world's been turning. We didn't start the fire. No, we didn't light it, but we tried to fight it.",song,,5,19,Liad (ozonzono),5,30 WPM,We Didn't Start the Fire,"[('start', 's instead of a'), ('the', 'j instead of h'), ('It', 'U instead of I'), ('burning', 'n instead of b'), ('been', 'n instead of b'), ('We', 'w instead of e'), ('the', 'j instead of h'), ('fire.', '/ instead of .'), ('No,', ' instead of ,'), (""didn't"", ""t instead of '""), ('light', '; instead of l'), ('but', 'n instead of b'), ('tried', 's instead of d'), ('fight', 't instead of g')]"
96.9%,Garry Trudeau,"Sat, 22 Dec 2018 19:44:12 +0000","Boy, what a pair we're going to make! A football player and a lover boy! I could get you girls, and you could get me football tickets. It certainly has amazing advantages.",book,op_09 (4th place),5,20,Liad (ozonzono),5,34 WPM,40: A Doonesbury Retrospective,"[('pair', 'o instead of i'), ('make!', '~ instead of !'), ('football', ' instead of b'), ('you', 't instead of y'), ('girls,', 'f instead of g'), ('amazing', 's instead of a')]"
93.7%,The Beatles,"Sun, 23 Dec 2018 17:37:11 +0000","No one I think is in my tree, I mean it must be high or low. That is, you know, you can't tune it. But it's all right, that is, I think it's not too bad.",song,,4,21,Liad (ozonzono),4,28 WPM,Strawberry Fields Forever,"[('No', 'ם instead of o'), ('is', 'o instead of i'), ('tree,', ' instead of ,'), ('is,', ' instead of ,'), ('know,', ' instead of ,'), ('it.', 'o instead of i'), ('But', 'r instead of t'), (""it's"", 't instead of s'), ('is,', ' instead of ,'), ('think', 'm instead of n'), ('bad.', '/ instead of .')]"
96.8%,Kansas,"Sun, 23 Dec 2018 17:38:29 +0000","To pass beyond is what I seek, I fear that I may be too weak. And those are few who've seen it through to glimpse the other side, the promised land is waiting like a maiden that is soon to be a bride.",song,,5,22,Liad (ozonzono),3,37 WPM,The Wall,"[('beyond', 't instead of y'), ('weak.', 'e instead of w'), (""who've"", 't instead of w'), ('through', 'o instead of r'), ('maiden', 'd instead of n'), ('bride.', 'e instead of i')]"
94.9%,Capcom,"Sun, 23 Dec 2018 17:40:01 +0000","Without warning the Halon system goes off. Pillars of high-pressure gas flood into the room, sucking the oxygen out of the air, making it impossible for a fire to breathe. A fire. Or people.",game,coderjunto (2nd place),5,23,Liad (ozonzono),4,32 WPM,Resident Evil,"[('warning', 'i instead of n'), ('Pillars', 'o instead of i'), ('high-pressure', ' instead of -'), ('flood', 'd instead of o'), ('room,', '. instead of ,'), ('A', 'f instead of f'), ('fire.', ' instead of .'), ('Or', 'I instead of O'), ('people.', 'o instead of p')]"
96.2%,John Lennon,"Sun, 23 Dec 2018 17:41:30 +0000","Everybody's talking about revolution, evolution, mastication, flagellation, regulation, integrations, mediations, United Nations, congratulations. All we are saying is give peace a chance.",song,,5,24,Liad (ozonzono),2,31 WPM,Give Peace a Chance,"[('evolution,', 'u instead of i'), ('mastication,', ' instead of ,'), ('All', '/ instead of A'), ('are', 'e instead of r'), ('give', 'i instead of g'), ('chance.', 'a instead of h')]"
94.2%,Mel Helitzer and Mark Shatz,"Sun, 23 Dec 2018 17:43:23 +0000","Quality humor doesn't just deliver one gag and then tax the audience's patience developing a new setup. Once you've got the audience laughing or on a roll, it's better to stay with toppers - a series of punch lines, each related to the previous one.",book,,3,25,Liad (ozonzono),2,32 WPM,Comedy Writing Secrets,"[(""doesn't"", 'n instead of s'), (""audience's"", ""; instead of '""), ('patience', 'o instead of p'), ('developing', 'o instead of i'), ('Once', 'I instead of O'), ('audience', 'c instead of e'), ('laughing', 'c instead of g'), ('roll,', '. instead of ,'), ('stay', 'a instead of t'), ('of', 'r instead of f'), ('punch', 'r instead of f'), ('lines,', 's instead of e'), ('previous', 'u instead of i')]"
95.9%,Theodore Wildi,"Sun, 23 Dec 2018 17:45:18 +0000","There are many other ways of programming the switching sequence, which will not be discussed here. In many cases the switching sequence is under computer control. In the simple method used above, the intention is to show the fundamental principle upon which pulse width modulation is used.",book,moo_cow123 (4th place),5,26,Liad (ozonzono),3,36 WPM,"Electrical Machines, Drives, and Power Systems","[('switching', 'h instead of c'), ('will', 'i instead of w'), ('discussed', 's instead of d'), ('switching', 'e instead of i'), ('sequence', 's instead of e'), ('simple', 'n instead of m'), ('method', 'i instead of e'), ('show', 'a instead of o'), ('width', 's instead of d')]"
95.1%,Timothy Ferriss,"Sun, 23 Dec 2018 18:36:01 +0000","I have quit three jobs and been fired from all the rest. Getting fired, despite sometimes coming as a surprise and leaving you scrambling to recover, is often a godsend: someone else makes the decision for you, and it's impossible to sit in the wrong job for the rest of your life.",book,,5,27,Liad (ozonzono),3,36 WPM,The 4-Hour Workweek,"[('three', 'e instead of r'), ('jobs', 'u instead of o'), ('been', 'v instead of e'), ('fired,', 'u instead of i'), ('godsend:', 'i instead of d'), ('decision', 'c instead of d'), ('impossible', 'n instead of m'), ('in', 't instead of i'), ('wrong', 'm instead of n'), ('job', 'i instead of o'), ('rest', 'a instead of s')]"
96.9%,Fyodor Dostoyevsky,"Sun, 23 Dec 2018 18:38:51 +0000","Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great men must, I think, have great sadness on earth.",book,,5,28,Liad (ozonzono),1,40 WPM,Crime and Punishment,"[('large', 'i instead of a'), ('really', 'a instead of e'), ('men', 'n instead of m'), ('think,', ' instead of ,'), ('earth.', 't instead of e')]"
93.3%,Guy Ritchie,"Sun, 23 Dec 2018 18:40:57 +0000","I don't want tickets, I need you to find me a painting, a classic, been nicked out of Lenny's house. And since you got more feet on the street than coppers on the beat, I'd like you to assist. I'll leave you a little livener. There's a large twenty to get some tongues wagging.",movie,,5,29,Liad (ozonzono),4,34 WPM,RocknRolla,"[('I', 'n instead of n'), ('painting,', 'o instead of n'), (""Lenny's"", 'K instead of L'), ('house.', ' instead of .'), ('And', 'S instead of A'), ('on', 't instead of t'), ('street', 'e instead of r'), ('than', 'h instead of t'), ('coppers', 'n instead of r'), ('beat,', 't instead of a'), (""I'd"", '| instead of I'), ('leave', 'a instead of e'), (""There's"", ""; instead of '""), ('large', 'f instead of g'), ('some', 'n instead of m'), ('tongues', 'u instead of n')]"
90.0%,Bill Watterson,"Sun, 23 Dec 2018 18:42:10 +0000","So long, Pop! I'm off to check my tiger trap! I rigged a tuna fish sandwich yesterday, so I'm sure to have a tiger by now!",book,tbearisdabest (4th place),5,30,Liad (ozonzono),3,27 WPM,The Complete Calvin and Hobbes,"[('long,', 'i instead of o'), ('Pop!', 'O instead of P'), (""I'm"", 'n instead of m'), ('to', 'h instead of o'), ('my', 'n instead of m'), ('rigged', 'u instead of i'), ('fish', 'i instead of f'), ('sandwich', 'a instead of s'), ('yesterday,', 'e instead of t'), ('sure', 'i instead of u'), ('have', 't instead of h')]"
95.9%,Miguel de Cervantes,"Sun, 23 Dec 2018 18:44:54 +0000","It is one thing to write as poet and another to write as a historian: the poet can recount or sing about things not as they were, but as they should have been, and the historian must write about them not as they should have been, but as they were, without adding or subtracting anything from the truth.",book,sundavar (3rd place),5,31,Liad (ozonzono),4,38 WPM,Don Quixote,"[('write', 'e instead of r'), ('poet', 'o instead of p'), ('a', 'h instead of a'), ('the', 'r instead of p'), ('recount', ' instead of t'), ('about', 'p instead of o'), ('should', 'o instead of h'), ('as', ' instead of s'), ('without', 'h instead of i'), ('subtracting', 'r instead of t'), ('the', ' instead of e'), ('truth.', 'r instead of t')]"
97.3%,J.D. Salinger,"Sun, 23 Dec 2018 18:46:14 +0000","When I really worry about something, I don't just fool around. I even have to go to the bathroom when I worry about something. Only I don't go. I'm too worried to go. I'm too worried to interrupt my worrying to go.",book,,4,32,Liad (ozonzono),3,41 WPM,The Catcher in the Rye,"[('just', 'u instead of s'), ('around.', 'i instead of o'), ('Only', 'I instead of O'), ('worrying', 'i instead of y')]"
95.2%,Kojima Productions,"Sun, 23 Dec 2018 18:47:29 +0000","It's not about changing the world. It's about doing our best to leave the world the way it is. It's about respecting the will of others, and believing in your own.",game,,5,33,Liad (ozonzono),4,38 WPM,Metal Gear Solid 4: Guns of the Patriots,"[('world.', ' instead of .'), (""It's"", 'i instead of I'), ('doing', 'a instead of d'), ('the', 'r instead of w'), ('world', 'r instead of w'), ('respecting', 'a instead of s'), ('own.', 'u instead of w')]"
92.3%,David Fincher,"Sun, 23 Dec 2018 18:49:30 +0000","Oxygen gets you high. In a catastrophic emergency, you're taking giant panicked breaths. Suddenly you become euphoric, docile. You accept your fate. It's all right here. Emergency water landing - 600 miles an hour. Blank faces, calm as Hindu cows.",movie,,4,34,Liad (ozonzono),4,28 WPM,Fight Club,"[('Oxygen', 'c instead of x'), ('catastrophic', 'o instead of r'), ('emergency,', 'm instead of ,'), (""you're"", ""; instead of '""), ('taking', 'b instead of g'), ('giant', 'f instead of g'), ('panicked', 'e instead of k'), ('breaths.', 'a instead of e'), ('become', 'u instead of o'), ('docile.', 'k instead of l'), ('your', 't instead of y'), ('Emergency', 'n instead of m'), ('landing', 'u instead of i'), ('600', '5 instead of 6'), ('miles', 'n instead of m'), ('hour.', ' instead of .'), ('Blank', 'a instead of l'), ('Hindu', 'u instead of i'), ('cows.', 'u instead of w')]"
97.9%,Winnie Holzman,"Sun, 23 Dec 2018 18:52:41 +0000","I loved Jordan Catalano so much, and talked about him so much, and thought about him so much, it was like he lived inside me. Like he had taken possession of my soul, or something. And then one day I got over him!",other,,4,35,Liad (ozonzono),3,36 WPM,My So-Called Life,"[('about', 'n instead of b'), ('him', 'u instead of i'), ('lived', 's instead of d'), ('inside', 'm instead of d'), ('over', 'g instead of e')]"
92.9%,Bryant Oden,"Sun, 23 Dec 2018 18:54:30 +0000","A duck walked up to a lemonade stand and he said to the man running the stand, ""Hey! (Bum bum bum) Got any grapes?""",song,,4,36,Liad (ozonzono),3,27 WPM,The Duck Song,"[('duck', 'f instead of d'), ('up', 'o instead of p'), ('stand,', ' instead of ,'), ('""Hey!', ' instead of H'), ('bum', 'y instead of m'), ('bum)', '_ instead of )'), ('any', 't instead of y'), ('grapes?""', 's instead of ?')]"
95.9%,Ralph Ellison,"Sun, 23 Dec 2018 18:55:41 +0000","If only all the contradictory voices shouting inside my head would calm down and sing a song in unison, whatever it was I wouldn't care as long as they sang without dissonance.",book,,5,37,Liad (ozonzono),4,40 WPM,Invisible Man,"[('contradictory', 't instead of n'), ('inside', 'n instead of d'), ('would', 'k instead of l'), ('unison,', 'i instead of u'), ('sang', 't instead of g'), ('dissonance.', 's instead of d')]"
94.0%,20th Century Fox,"Sun, 23 Dec 2018 18:57:30 +0000","You can tie up a lot of resources by keeping a bugged phone line open. As long as it's open, they're supposed to keep listening. Say a few cryptic things now and then and they'll be stuck in their little van trying to figure out what the hell you're doing.",other,,5,38,Liad (ozonzono),3,35 WPM,Burn Notice,"[('resources', 'a instead of s'), ('keeping', 'l instead of k'), ('bugged', 'h instead of g'), ('line', 'o instead of i'), ('as', 's instead of a'), (""it's"", 'o instead of i'), ('open,', '. instead of ,'), ('keep', 'l instead of k'), ('Say', 't instead of a'), ('and', 't instead of a'), ('and', 'd instead of n'), ('figure', ' instead of e'), ('hell', 'e instead of l'), ('doing.', 'n instead of i')]"
93.2%,Nirvana,"Sun, 23 Dec 2018 19:32:31 +0000",Teenage angst has paid off well. Now I'm bored and old. Self-appointed judges judge more than they have sold. If she floats then she is not a witch like we had thought. A down payment on another one at Salem's lot.,song,,5,39,Liad (ozonzono),4,30 WPM,Serve the Servants,"[(""I'm"", ', instead of m'), ('old.', 'i instead of o'), ('Self-appointed', 'k instead of l'), ('judges', 'e instead of g'), ('sold.', 'o instead of s'), ('she', 'a instead of e'), ('witch', 't instead of l'), ('down', 'i instead of o'), ('payment', 'n instead of m'), ('on', ' instead of n'), ('another', 'b instead of n'), ('at', 't instead of a'), (""Salem's"", 'k instead of l'), ('lot.', '; instead of l')]"
94.0%,Matt Groening,"Sun, 23 Dec 2018 19:34:14 +0000","Quit complaining! This way I don't have to waste money on morphine! Well Smithers, you were right, he was not dead. I guess I owe you a Coke after all. And as for you, you clinking, clattering cacophony of collagenous cogs and camshifts, take that!",other,,4,40,Liad (ozonzono),3,32 WPM,The Simpsons,"[('complaining!', 't instead of i'), (""don't"", 'f instead of d'), ('have', 'g instead of h'), ('Well', 'E instead of W'), ('Smithers,', 'n instead of m'), ('you', 't instead of y'), ('I', 'U instead of I'), ('owe', 'e instead of w'), ('And', '/ instead of A'), ('as', 's instead of a'), ('for', 'g instead of f'), ('collagenous', 'o instead of c'), ('that!', 'e instead of a')]"
96.0%,John Knowles,"Sun, 23 Dec 2018 19:35:59 +0000","The old man told us to go back to other parts of the yard, but there was no more real work done that afternoon. Stranded in this mill town railroad yard while the whole world was converging elsewhere, we seemed to be nothing but children playing among heroic men.",book,,5,41,Liad (ozonzono),3,38 WPM,A Separate Peace,"[('us', 's instead of u'), ('to', 'y instead of t'), ('other', 't instead of o'), ('afternoon.', ', instead of n'), ('railroad', 'n instead of l'), ('converging', 'b instead of n'), ('elsewhere,', ' instead of ,'), ('among', 'i instead of o'), ('heroic', 'g instead of h'), ('men.', 'l instead of .')]"
95.5%,Microsoft,"Sun, 23 Dec 2018 19:37:48 +0000",The machinery in these canyons are Halo's primary firing mechanisms. They consist of three phase pulse generators that amplify Halo's signal and allow it to fire deep into space. The power levels are enormous I can't even begin to calculate the pulse's range.,game,,2,42,Liad (ozonzono),2,37 WPM,Halo: Combat Evolved,"[('these', 'r instead of s'), (""Halo's"", 'G instead of H'), ('primary', 'a instead of r'), ('mechanisms.', 'a instead of m'), ('three', 'e instead of r'), ('phase', 'a instead of h'), (""Halo's"", 'G instead of H'), ('space.', 'n instead of c')]"
96.9%,Johann Wolfgang von Goethe,"Sun, 23 Dec 2018 19:39:27 +0000","Yet the web of thought has no such creases and is more like a weaver's masterpieces; one step, a thousand threads arise, hither and thither shoots each shuttle, the threads flow on, unseen and subtle, each blow effects a thousand ties.",poem,,3,43,Liad (ozonzono),1,42 WPM,Faust,"[('masterpieces;', 'p instead of r'), ('step,', ' instead of ,'), ('threads', 'e instead of r'), ('hither', 't instead of h'), ('shuttle,', ' instead of ,'), ('subtle,', 'l instead of t')]"
93.0%,David Crane and Marta Kauffman,"Sun, 23 Dec 2018 19:41:19 +0000","She wants me to take responsibility for everything that went wrong in our relationship! She goes on for five pages about how I was ""unfaithful"" to her! We were on a break!",other,,5,44,Liad (ozonzono),3,31 WPM,Friends,"[('take', 'l instead of k'), ('responsibility', 'a instead of s'), ('everything', ' instead of t'), ('in', 'o instead of i'), ('relationship!', 'a instead of l'), ('five', 'o instead of i'), ('about', 'v instead of b'), ('how', 'p instead of o'), ('I', 'i instead of I'), ('""unfaithful""', ' instead of u'), ('her!', 'g instead of h'), ('We', ' instead of e')]"
94.1%,Vonda Shepard,"Sun, 23 Dec 2018 20:20:14 +0000","It doesn't matter where you go or what you do, I want to spend each moment of the day with you. Look what has happened with just one kiss, I never knew that I could be in love like this.",song,,5,45,Liad (ozonzono),3,37 WPM,I Only Want To Be With You,"[(""doesn't"", 's instead of e'), ('where', 'r instead of e'), ('do,', '; instead of ,'), ('moment', 'n instead of m'), ('the', 'r instead of d'), ('Look', 'j instead of k'), ('what', 'h instead of w'), ('happened', 'd instead of e'), ('with', 'a instead of w'), ('could', 'k instead of l'), ('in', 't instead of l')]"
93.2%,Christopher Nolan,"Sun, 23 Dec 2018 20:21:39 +0000","Just because there are things I don't remember doesn't make my actions meaningless. The world doesn't just disappear when you close your eyes, does it?",movie,,4,46,Liad (ozonzono),4,31 WPM,Memento,"[('Just', ' instead of t'), ('there', 'r instead of e'), ('are', ' instead of e'), (""don't"", 'y instead of t'), ('remember', 'n instead of m'), ('my', 'n instead of m'), ('meaningless.', ', instead of .'), ('just', 'h instead of j'), ('disappear', 's instead of a'), ('you', 'p instead of u'), ('your', 'p instead of o'), ('eyes,', 'u instead of y')]"
